,Temp(¡ÆC),½Àµµ(%),Wind(km/h),Precip.(mm)
2014-12-31,-12,58,22,0
2014-12-30,-9,57,17,0
2014-12-29,-4,71,15,0
2014-12-28,-2,62,12,0
2014-12-27,4,81,24,0
2014-12-26,6,75,16,0
2014-12-25,3,72,23,0
2014-12-24,3,84,13,0
2014-12-23,6,81,17,4.83
2014-12-22,2,85,18,8.13
2014-12-21,1,80,16,0
2014-12-20,-1,72,6,0
2014-12-19,-1,75,8,0
2014-12-18,-4,74,9,0
2014-12-17,-3,72,18,0
2014-12-16,3,85,19,0.51
2014-12-15,7,93,18,1.52
2014-12-14,9,93,13,0
2014-12-13,5,86,13,0
2014-12-12,-1,91,15,0
2014-12-11,-2,76,14,0
2014-12-10,-1,74,18,0
2014-12-09,2,84,22,0
2014-12-08,2,86,15,5.08
2014-12-07,-1,69,16,0
2014-12-06,1,74,18,0
2014-12-05,2,77,7,0
2014-12-04,-2,59,12,0
2014-12-03,-1,64,17,0
2014-12-02,-3,74,16,0
2014-12-01,-6,51,19,0
2014-11-30,3,82,18,0
2014-11-29,4,82,21,0
2014-11-28,-3,73,17,0
2014-11-27,-6,72,16,0
2014-11-26,-5,77,8,0
2014-11-25,-6,76,17,0.25
2014-11-24,3,88,28,10.92
2014-11-23,10,89,17,16
2014-11-22,6,64,21,1.78
2014-11-21,-6,53,14,0
2014-11-20,-6,53,24,0
2014-11-19,-4,58,24,0
2014-11-18,-10,67,27,0
2014-11-17,-9,71,26,0
2014-11-16,-4,82,12,0.25
2014-11-15,-4,66,9,1.02
2014-11-14,-4,59,13,0
2014-11-13,-3,66,20,0
2014-11-12,-2,58,22,0
2014-11-11,7,70,25,5.33
2014-11-10,11,65,21,0
2014-11-09,7,53,14,0
2014-11-08,6,61,19,0.25
2014-11-07,2,64,13,0
2014-11-06,7,66,27,0
2014-11-05,8,61,15,0
2014-11-04,11,61,25,0
2014-11-03,12,44,24,0
2014-11-02,3,65,16,0
2014-11-01,2,67,14,0
2014-10-31,4,59,37,0.76
2014-10-30,6,71,9,0
2014-10-29,6,68,16,0
2014-10-28,14,59,25,0
2014-10-27,18,62,21,0
2014-10-26,12,43,9,0
2014-10-25,16,56,18,0
2014-10-24,16,66,9,0
2014-10-23,9,76,13,0
2014-10-22,8,70,8,0
2014-10-21,9,70,18,0
2014-10-20,13,67,15,0.25
2014-10-19,7,78,13,0
2014-10-18,6,73,15,0.25
2014-10-17,13,81,21,0
2014-10-16,12,89,12,0
2014-10-15,12,95,16,1.27
2014-10-14,15,92,16,16.51
2014-10-13,17,89,15,16.26
2014-10-12,11,73,15,0.25
2014-10-11,9,61,7,0
2014-10-10,9,67,13,0
2014-10-09,12,51,9,0
2014-10-08,13,56,18,0
2014-10-07,14,64,19,0
2014-10-06,11,66,14,0.25
2014-10-05,8,62,14,0.25
2014-10-04,5,72,22,1.52
2014-10-03,12,73,26,17.27
2014-10-02,20,78,13,8.13
2014-10-01,16,70,17,0
2014-09-30,12,80,16,0
2014-09-29,20,65,14,0.25
2014-09-28,19,73,5,0
2014-09-27,19,68,6,0
2014-09-26,18,69,7,0
2014-09-25,18,62,3,0
2014-09-24,19,60,9,0
2014-09-23,17,57,7,0
2014-09-22,14,60,9,0
2014-09-21,16,66,20,0
2014-09-20,21,73,16,3.05
2014-09-19,19,61,19,0
2014-09-18,17,75,10,0
2014-09-17,15,63,5,0
2014-09-16,13,64,7,0
2014-09-15,14,77,8,0
2014-09-14,12,67,8,0
2014-09-13,10,72,12,0
2014-09-12,10,76,20,3.3
2014-09-11,12,66,17,0
2014-09-10,20,76,25,33.27
2014-09-09,22,66,12,0.25
2014-09-08,19,59,10,0
2014-09-07,19,56,7,0
2014-09-06,20,57,14,0
2014-09-05,24,70,18,12.7
2014-09-04,26,70,20,6.6
2014-09-03,22,66,11,0
2014-09-02,24,64,9,0.25
2014-09-01,25,68,19,9.14
2014-08-31,25,72,11,0
2014-08-30,25,69,19,6.86
2014-08-29,26,71,18,2.03
2014-08-28,22,59,14,0
2014-08-27,24,63,11,0
2014-08-26,26,65,10,3.05
2014-08-25,27,75,11,0.25
2014-08-24,26,73,12,0
2014-08-23,25,82,8,8.64
2014-08-22,26,72,8,40.13
2014-08-21,24,80,8,24.89
2014-08-20,24,65,13,0
2014-08-19,26,64,17,2.29
2014-08-18,23,69,8,0
2014-08-17,20,81,14,0
2014-08-16,22,68,13,0
2014-08-15,18,53,10,0
2014-08-14,18,59,12,0
2014-08-13,21,61,15,0
2014-08-12,19,68,19,1.78
2014-08-11,24,71,11,21.59
2014-08-10,24,61,14,0
2014-08-09,23,58,15,0
2014-08-08,23,59,17,0
2014-08-07,22,60,14,0
2014-08-06,22,60,10,0
2014-08-05,22,72,10,0
2014-08-04,25,65,12,70.1
2014-08-03,24,53,11,0
2014-08-02,23,55,7,0
2014-08-01,23,62,11,3.81
2014-07-31,22,59,14,0
2014-07-30,21,62,11,0
2014-07-29,21,60,15,0.25
2014-07-28,19,51,18,0
2014-07-27,24,61,24,0.51
2014-07-26,24,67,9,0
2014-07-25,18,65,15,0
2014-07-24,19,55,14,0
2014-07-23,19,53,26,0
2014-07-22,27,63,19,0.25
2014-07-21,24,61,12,0
2014-07-20,22,61,7,0
2014-07-19,21,59,7,0
2014-07-18,21,59,11,0
2014-07-17,19,58,9,0
2014-07-16,18,62,12,0
2014-07-15,17,69,17,1.27
2014-07-14,22,57,13,5.08
2014-07-13,25,62,16,0.25
2014-07-12,24,74,17,11.94
2014-07-11,22,54,9,0.25
2014-07-10,21,63,7,0
2014-07-09,22,53,14,0
2014-07-08,23,59,19,13.72
2014-07-07,27,62,14,16
2014-07-06,24,65,20,0
2014-07-05,21,61,13,0
2014-07-04,21,50,12,0
2014-07-03,19,60,11,1.78
2014-07-02,17,70,15,3.05
2014-07-01,23,68,20,0
2014-06-30,25,73,20,66.04
2014-06-29,25,67,21,1.78
2014-06-28,26,66,19,0
2014-06-27,23,67,16,0
2014-06-26,21,74,11,0
2014-06-25,21,75,12,0
2014-06-24,26,62,8,10.41
2014-06-23,23,73,9,1.27
2014-06-22,23,74,8,0
2014-06-21,22,74,12,32.51
2014-06-20,23,72,14,0.25
2014-06-19,21,76,13,8.13
2014-06-18,22,72,16,16.51
2014-06-17,29,56,20,0
2014-06-16,26,59,14,0
2014-06-15,22,51,25,0
2014-06-14,19,47,13,0
2014-06-13,18,43,16,0
2014-06-12,21,70,16,0
2014-06-11,17,83,12,13.21
2014-06-10,16,71,17,32
2014-06-09,19,55,14,0
2014-06-08,17,56,23,5.84
2014-06-07,22,56,12,2.03
2014-06-06,18,46,8,0
2014-06-05,18,54,10,0
2014-06-04,17,65,15,4.83
2014-06-03,23,50,16,0
2014-06-02,24,63,24,3.56
2014-06-01,25,57,21,0
2014-05-31,22,52,13,0
2014-05-30,19,56,11,0
2014-05-29,18,62,14,0
2014-05-28,18,67,15,0.76
2014-05-27,22,69,16,5.33
2014-05-26,23,60,12,0
2014-05-25,19,51,8,0
2014-05-24,16,53,8,0
2014-05-23,15,60,10,0
2014-05-22,17,59,11,0
2014-05-21,24,59,12,0.25
2014-05-20,23,63,18,20.83
2014-05-19,14,53,21,0
2014-05-18,14,46,17,0
2014-05-17,10,59,14,0
2014-05-16,6,75,13,2.54
2014-05-15,9,67,22,4.83
2014-05-14,10,65,19,0.51
2014-05-13,16,83,20,3.05
2014-05-12,23,78,19,33.53
2014-05-11,19,65,14,3.05
2014-05-10,17,52,11,0
2014-05-09,18,64,26,26.16
2014-05-08,21,50,23,2.54
2014-05-07,17,56,14,0
2014-05-06,11,54,22,0
2014-05-05,9,58,21,1.27
2014-05-04,11,39,16,0
2014-05-03,14,53,24,0
2014-05-02,10,71,19,0
2014-05-01,8,77,22,2.29
2014-04-30,9,70,17,0.25
2014-04-29,12,74,13,15.49
2014-04-28,10,69,26,15.49
2014-04-27,11,52,27,0.76
2014-04-26,9,55,21,0
2014-04-25,14,55,20,5.59
2014-04-24,11,49,24,1.52
2014-04-23,6,55,14,0.51
2014-04-22,9,56,19,0
2014-04-21,19,61,14,0
2014-04-20,16,42,16,0
2014-04-19,11,52,15,0
2014-04-18,7,62,13,0
2014-04-17,11,54,20,0
2014-04-16,4,53,26,0
2014-04-15,0,54,15,0
2014-04-14,8,71,25,7.62
2014-04-13,13,72,21,10.92
2014-04-12,17,44,24,0
2014-04-11,12,35,11,0
2014-04-10,12,41,20,0
2014-04-09,9,50,15,0
2014-04-08,10,60,11,0.51
2014-04-07,7,53,11,0
2014-04-06,7,48,10,0
2014-04-05,5,49,9,0
2014-04-04,5,73,27,0
2014-04-03,4,75,22,13.46
2014-04-02,4,60,17,0
2014-04-01,7,52,30,0
2014-03-31,13,43,28,0
2014-03-30,5,49,10,0
2014-03-29,2,55,16,0
2014-03-28,7,71,19,1.52
2014-03-27,7,61,28,5.08
2014-03-26,-3,50,17,0
2014-03-25,-3,51,21,1.27
2014-03-24,-2,48,12,0
2014-03-23,-3,51,16,0
2014-03-22,1,54,22,0
2014-03-21,7,64,19,0
2014-03-20,4,60,12,1.02
2014-03-19,4,73,20,4.83
2014-03-18,4,61,18,0
2014-03-17,-1,49,13,0
2014-03-16,-5,58,29,0
2014-03-15,1,62,17,0
2014-03-14,7,57,29,0
2014-03-13,-3,66,11,0
2014-03-12,-4,64,24,12.19
2014-03-11,6,63,15,3.56
2014-03-10,8,61,18,0
2014-03-09,-1,64,20,0
2014-03-08,-1,70,17,0.51
2014-03-07,-1,59,12,0
2014-03-06,-4,60,11,0
2014-03-05,-6,66,19,3.81
2014-03-04,-7,53,10,0
2014-03-03,-13,57,8,0
2014-03-02,-13,57,18,2.29
2014-03-01,-6,66,15,10.41
2014-02-28,-8,49,15,0
2014-02-27,-12,42,19,0
2014-02-26,-12,52,25,0
2014-02-25,-10,55,21,0
2014-02-24,-7,53,20,0
2014-02-23,-6,48,20,0
2014-02-22,-2,47,19,0
2014-02-21,0,57,38,0
2014-02-20,6,84,22,29.46
2014-02-19,3,58,12,0
2014-02-18,-1,67,20,0
2014-02-17,-3,75,24,8.89
2014-02-16,-5,65,17,0
2014-02-15,-10,63,12,1.02
2014-02-14,-8,60,16,0
2014-02-13,-6,58,14,0
2014-02-12,-12,62,10,0
2014-02-11,-16,57,9,0
2014-02-10,-15,56,14,0
2014-02-09,-11,65,15,0
2014-02-08,-12,73,8,1.78
2014-02-07,-16,61,17,0
2014-02-06,-14,68,20,0
2014-02-05,-8,71,21,8.89
2014-02-04,-9,67,11,2.03
2014-02-03,-13,63,6,0
2014-02-02,-12,63,13,0
2014-02-01,-3,80,11,10.92
2014-01-31,-5,63,9,0.25
2014-01-30,-3,61,29,0
2014-01-29,-11,54,21,0
2014-01-28,-20,60,19,0
2014-01-27,-18,57,26,0
2014-01-26,-7,66,26,4.32
2014-01-25,-7,61,29,0
2014-01-24,-12,62,33,0.51
2014-01-23,-16,57,23,0
2014-01-22,-13,65,20,0
2014-01-21,-14,59,23,1.78
2014-01-20,-4,72,19,4.32
2014-01-19,-4,71,23,0
2014-01-18,-10,73,10,3.05
2014-01-17,-9,67,20,1.02
2014-01-16,-3,69,26,0.25
2014-01-15,-7,67,19,0
2014-01-14,-2,70,24,0.25
2014-01-13,2,67,18,0
2014-01-12,2,68,26,0
2014-01-11,2,81,22,1.52
2014-01-10,1,87,17,20.32
2014-01-09,-11,71,9,0.25
2014-01-08,-14,62,7,0
2014-01-07,-20,65,16,0
2014-01-06,-23,56,30,0
2014-01-05,-11,71,27,14.99
2014-01-04,-4,71,23,6.6
2014-01-03,-16,63,24,0
2014-01-02,-12,71,21,5.59
2014-01-01,-9,76,18,6.35
2013-12-31,-14,70,13,7.62
2013-12-30,-14,60,12,1.02
2013-12-29,-3,71,19,0.25
2013-12-28,6,64,21,0
2013-12-27,-1,73,15,0
2013-12-26,-4,69,16,0
2013-12-25,-5,72,16,1.78
2013-12-24,-13,63,14,0.25
2013-12-23,-11,77,20,0
2013-12-22,-2,91,18,5.08
2013-12-21,1,91,14,6.1
2013-12-20,2,89,15,7.87
2013-12-19,2,77,11,1.52
2013-12-18,-4,60,20,0
2013-12-17,-4,73,22,0.25
2013-12-16,-10,72,9,1.27
2013-12-15,-8,75,20,0
2013-12-14,-3,87,18,5.84
2013-12-13,-5,75,10,0.25
2013-12-12,-13,66,18,0
2013-12-11,-12,72,15,1.27
2013-12-10,-12,68,22,0
2013-12-09,-11,75,23,0
2013-12-08,-6,73,14,6.1
2013-12-07,-9,59,11,0
2013-12-06,-8,65,15,0
2013-12-05,-1,75,23,0
2013-12-04,9,91,19,0.51
2013-12-03,7,96,12,0.51
2013-12-02,3,73,12,1.78
2013-12-01,2,77,9,0
2013-11-30,4,59,13,0
2013-11-29,-3,66,8,0
2013-11-28,-3,60,15,0
2013-11-27,-6,56,18,0
2013-11-26,-3,67,19,0
2013-11-25,-3,71,20,0.76
2013-11-24,-7,52,15,0
2013-11-23,-6,62,24,0
2013-11-22,2,78,15,1.02
2013-11-21,8,82,8,1.27
2013-11-20,3,71,17,3.81
2013-11-19,1,73,9,0
2013-11-18,3,66,24,0
2013-11-17,13,80,34,9.91
2013-11-16,11,83,28,10.16
2013-11-15,7,63,17,0.25
2013-11-14,5,48,24,0
2013-11-13,-1,56,23,0
2013-11-12,-2,62,18,0
2013-11-11,2,73,20,7.37
2013-11-10,6,58,15,0
2013-11-09,10,59,30,0
2013-11-08,3,69,15,0
2013-11-07,3,71,15,0
2013-11-06,8,79,23,15.24
2013-11-05,12,80,17,1.02
2013-11-04,10,62,23,0
2013-11-03,6,74,12,0
2013-11-02,6,81,12,0.25
2013-11-01,8,85,18,2.03
2013-10-31,13,92,19,26.42
2013-10-30,12,89,12,13.97
2013-10-29,10,66,12,0
2013-10-28,7,78,15,0
2013-10-27,6,62,11,0
2013-10-26,8,54,23,0
2013-10-25,4,59,19,0
2013-10-24,3,59,18,0
2013-10-23,4,65,16,0
2013-10-22,2,72,10,0
2013-10-21,7,61,19,0
2013-10-20,9,78,10,0.25
2013-10-19,9,64,16,0
2013-10-18,7,79,14,0
2013-10-17,8,83,11,7.37
2013-10-16,11,79,17,0
2013-10-15,14,83,17,1.78
2013-10-14,11,70,14,0
2013-10-13,12,60,11,0
2013-10-12,16,77,12,3.05
2013-10-11,18,66,12,0
2013-10-10,16,71,6,0
2013-10-09,16,62,7,0
2013-10-08,15,69,9,0
2013-10-07,14,68,14,0
2013-10-06,13,70,15,2.29
2013-10-05,22,85,10,20.83
2013-10-04,21,86,10,0
2013-10-03,21,84,13,3.05
2013-10-02,21,61,10,0
2013-10-01,22,74,20,0
2013-09-30,16,63,10,0
2013-09-29,16,70,12,4.57
2013-09-28,21,62,20,5.08
2013-09-27,19,64,12,0
2013-09-26,17,64,7,0
2013-09-25,16,73,9,0
2013-09-24,16,65,13,0
2013-09-23,14,67,10,0
2013-09-22,14,66,12,0
2013-09-21,16,73,16,0
2013-09-20,19,77,18,0
2013-09-19,25,79,17,21.34
2013-09-18,22,69,14,13.97
2013-09-17,16,71,12,0
2013-09-16,14,73,17,0
2013-09-15,15,70,9,16.51
2013-09-14,16,58,9,0
2013-09-13,16,57,19,0
2013-09-12,22,60,15,0
2013-09-11,28,63,12,0
2013-09-10,30,52,20,0
2013-09-09,27,68,16,0
2013-09-08,23,80,19,0
2013-09-07,25,61,11,0.25
2013-09-06,22,65,10,0
2013-09-05,19,64,15,0
2013-09-04,22,64,11,0
2013-09-03,19,62,9,0
2013-09-02,21,73,15,0
2013-09-01,24,74,8,3.56
2013-08-31,24,80,12,1.78
2013-08-30,28,66,13,9.14
2013-08-29,26,69,8,0
2013-08-28,25,76,15,0
2013-08-27,31,62,19,0
2013-08-26,27,63,15,0
2013-08-25,25,58,15,0
2013-08-24,23,67,10,0
2013-08-23,22,60,11,0
2013-08-22,23,86,11,5.84
2013-08-21,26,64,14,0.25
2013-08-20,25,63,13,0
2013-08-19,22,72,9,0
2013-08-18,21,68,8,0
2013-08-17,21,64,10,0
2013-08-16,21,57,8,0
2013-08-15,18,64,8,0
2013-08-14,18,62,11,0
2013-08-13,18,64,15,0
2013-08-12,24,74,12,6.86
2013-08-11,22,67,5,0.25
2013-08-10,23,66,10,0
2013-08-09,22,69,9,0
2013-08-08,22,66,15,0
2013-08-07,26,72,16,0
2013-08-06,24,79,13,1.02
2013-08-05,19,72,12,1.78
2013-08-04,20,67,13,0
2013-08-03,23,58,11,0
2013-08-02,23,67,13,16
2013-08-01,22,70,13,0
